etiqueta,duracion,energia,periodicidad
unvoice,0.2757,0.010333,0.764
silence,0.5423,0.008603,0.8121
silence,1.204,0.008737,0.8712
unvoice,0.0628,0.008971,0.7414
voice,0.5832,0.056847,0.763
unvoice,0.2225,0.008134,0.6347
silence,0.5975,0.004923,0.8767
silence,1.5597,0.008797,0.8842
unvoice,0.0613,0.009241,0.7148
voice,0.4113,0.078235,0.6925
unvoice,0.1516,0.006995,0.7912
silence,0.2161,0.005265,0.8873
silence,0.9199,0.00865,0.8644
unvoice,0.061,0.010666,0.8159
voice,0.4058,0.051882,0.6932
unvoice,0.1358,0.008901,0.85
silence,0.7475,0.007264,0.8297
silence,0.9563,0.0087,0.8555
unvoice,0.097,0.008553,0.7615
voice,0.4461,0.039638,0.5208
unvoice,0.2417,0.009306,0.757
silence,0.4789,0.006683,0.8801
silence,1.0846,0.008566,0.8553
unvoice,0.0438,0.010395,0.7965
voice,0.1978,0.070018,0.8009
unvoice,0.1944,0.009684,0.8636
silence,1.0194,0.006421,0.8765
silence,1.0333,0.011511,0.7987
unvoice,0.06,0.011212,0.785
voice,0.447,0.073894,0.9025
unvoice,0.2089,0.008718,0.7856
silence,0.6608,0.006229,0.8826
silence,0.5124,0,0.0041
unvoice,0.1441,0.0003,0.4856
voice,0.524,0.1034,0.7162
unvoice,0.2296,0.0038,0.2349
silence,0.1748,0,0.0455
silence,0.5296,0,0.1185
unvoice,0.0649,0.0012,0.0423
voice,0.4676,0.0963,0.6038
unvoice,0.0918,0.0015,0.2182
silence,0.2837,0,0.0163
silence,0.4914,0,0.0623
unvoice,0.0417,0.0003,0.2696
voice,0.5016,0.1071,0.5734
unvoice,0.182,0.0018,0.2239
silence,0.1476,0,0.2424
silence,0.5794,0,0.0562
unvoice,0.1406,0.0011,0.2805
voice,0.2216,0.0516,0.3705
unvoice,0.1088,0.005,0.4709
silence,0.0862,0,0.0186
silence,0.4017,0,0.0662
unvoice,0.1279,0.001,0.0505
voice,0.5122,0.0381,0.4555
unvoice,0.2687,0.0052,0.2801
silence,0.667,0,0.1824
silence,0.4359,0,0.0063
unvoice,0.1156,0.0014,0.3255
voice,0.5376,0.0652,0.4572
unvoice,0.2184,0.0005,0.3534
silence,0.6668,0,0.2269
silence,0.4686,0,0.1785
unvoice,0.0392,0.0017,0.2789
voice,0.3162,0.1038,0.7037
unvoice,0.0984,0.0049,0.5084
silence,0.7938,0,0.0795
silence,0.6454,0,0.1038
unvoice,0.1333,0.0005,0.3574
voice,0.1833,0.0574,0.4818
unvoice,0.2032,0.0057,0.5387
silence,0.3839,0,0.2406
silence,0.4855,0,0.1971
unvoice,0.0344,0.0023,0.1362
voice,0.4665,0.0488,0.6361
unvoice,0.2008,0.0012,0.4546
silence,0.0912,0,0.0594
silence,0.5901,0,0.1024
unvoice,0.0943,0.0003,0.1287
voice,0.2224,0.0794,0.6226
unvoice,0.3006,0.0042,0.2197
silence,0.3066,0,0.1727
